soc2d,soc2d_label,soc3d,soc3d_label,soc5d,soc5d_label,soc6d,soc6d_label,soc8d,soc8d_label
11-0000,Management Occupations,11-1000,Top Executives,11-1010,Chief Executives,11-1011,Chief Executives,11-1011.00,Chief Executives
11-0000,Management Occupations,11-1000,Top Executives,11-1010,Chief Executives,11-1011,Chief Executives,11-1011.03,Chief Sustainability Officers
11-0000,Management Occupations,11-1000,Top Executives,11-1020,General and Operations Managers,11-1021,General and Operations Managers,11-1021.00,General and Operations Managers
11-0000,Management Occupations,11-1000,Top Executives,11-1030,Legislators,11-1031,Legislators,11-1031.00,Legislators
11-0000,Management Occupations,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2010,Advertising and Promotions Managers,11-2011,Advertising and Promotions Managers,11-2011.00,Advertising and Promotions Managers
11-0000,Management Occupations,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2010,Advertising and Promotions Managers,11-2011,Advertising and Promotions Managers,11-2011.01,Green Marketers
11-0000,Management Occupations,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2020,Marketing and Sales Managers,11-2021,Marketing Managers,11-2021.00,Marketing Managers
11-0000,Management Occupations,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2020,Marketing and Sales Managers,11-2022,Sales Managers,11-2022.00,Sales Managers
11-0000,Management Occupations,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-2030,Public Relations and Fundraising Managers,11-2031,Public Relations and Fundraising Managers,11-2031.00,Public Relations and Fundraising Managers
11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3010,Administrative Services Managers,11-3011,Administrative Services Managers,11-3011.00,Administrative Services Managers
11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3020,Computer and Information Systems Managers,11-3021,Computer and Information Systems Managers,11-3021.00,Computer and Information Systems Managers
11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3030,Financial Managers,11-3031,Financial Managers,11-3031.00,Financial Managers
11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3030,Financial Managers,11-3031,Financial Managers,11-3031.01,Treasurers and Controllers
11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3030,Financial Managers,11-3031,Financial Managers,11-3031.02,"Financial Managers, Branch or Department"
11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3050,Industrial Production Managers,11-3051,Industrial Production Managers,11-3051.00,Industrial Production Managers
11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3050,Industrial Production Managers,11-3051,Industrial Production Managers,11-3051.01,Quality Control Systems Managers
11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3050,Industrial Production Managers,11-3051,Industrial Production Managers,11-3051.02,Geothermal Production Managers
11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3050,Industrial Production Managers,11-3051,Industrial Production Managers,11-3051.03,Biofuels Production Managers
11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3050,Industrial Production Managers,11-3051,Industrial Production Managers,11-3051.04,Biomass Power Plant Managers
11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3050,Industrial Production Managers,11-3051,Industrial Production Managers,11-3051.05,Methane/Landfill Gas Collection System Operators
11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3050,Industrial Production Managers,11-3051,Industrial Production Managers,11-3051.06,Hydroelectric Production Managers
11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3060,Purchasing Managers,11-3061,Purchasing Managers,11-3061.00,Purchasing Managers
11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3070,"Transportation, Storage, and Distribution Managers",11-3071,"Transportation, Storage, and Distribution Managers",11-3071.00,"Transportation, Storage, and Distribution Managers"
11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3070,"Transportation, Storage, and Distribution Managers",11-3071,"Transportation, Storage, and Distribution Managers",11-3071.01,Transportation Managers
11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3070,"Transportation, Storage, and Distribution Managers",11-3071,"Transportation, Storage, and Distribution Managers",11-3071.02,Storage and Distribution Managers
11-0000,Management Occupations,11-3000,Operations Specialties Managers,11-3070,"Transportation, Storage, and Distribution Managers",11-3071,"Transportation, Storage, and Distribution Managers",11-3071.03,Logistics Managers
