isco3d,isco3d_label,tech40_id,tech40_label,tech40_labelshort,cosine3d,n_patent,xposure3d
111,Legislators and senior officials,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
111,Legislators and senior officials,2,3D Printing,3D Printing,0,0,-0
111,Legislators and senior officials,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
111,Legislators and senior officials,4,Smart Agriculture & Water Management,Smart Agriculture,0,0,-0
111,Legislators and senior officials,5,Internet of Things (IoT),IoT,0,0,-0
111,Legislators and senior officials,6,Predictive Energy Management and Distribution,Energy Management,0,1,-0
111,Legislators and senior officials,7,Industrial Automation & Robot Control,Industrial Automation,0,0,-0
111,Legislators and senior officials,8,Remote Monitoring & Control Systems,Remote Monitoring,0,0,-0
111,Legislators and senior officials,9,Smart Home & Intelligent Household Control,Smart Home,0,0,-0
111,Legislators and senior officials,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
111,Legislators and senior officials,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,0,-0
111,Legislators and senior officials,12,Parking & Vehicle Space Management,Parking Management,0,0,-0
111,Legislators and senior officials,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0,0,-0
111,Legislators and senior officials,14,Passenger Transportation,Passenger Transportation,0.09061711097814854,1,0.09049355053531227
111,Legislators and senior officials,15,Food Ordering & Vending Systems,Food Ordering,0,0,-0
111,Legislators and senior officials,16,Digital Advertising,Digital Advertising,0,0,-0
111,Legislators and senior officials,17,Electronic Trading and Auctions,E-Trading,0,0,-0
111,Legislators and senior officials,18,Online Shopping Platforms,Online Shopping,0,0,-0
111,Legislators and senior officials,19,E-Coupons & Promotion Management,E-Coupons,0,0,-0
111,Legislators and senior officials,20,Electronic Payments & Financial Transactions,E-Payment,0,0,-0
111,Legislators and senior officials,21,Mobile Payments,Mobile Payment,0,0,-0
111,Legislators and senior officials,22,Gaming & Wagering Systems,Gaming,0.5943564735974876,9,0.5639795943110993
111,Legislators and senior officials,23,Digital Authentication,Digital Authentification,0,0,-0
111,Legislators and senior officials,24,E-Learning,E-Learning,0,0,-0
111,Legislators and senior officials,25,Location-Based Services & Tracking,Location-Based Services,0,0,-0
111,Legislators and senior officials,26,Voice Communication,Voice Communication,0,0,-0
111,Legislators and senior officials,27,Electronic Messaging,Electronic Messaging,0,0,-0
111,Legislators and senior officials,28,Workflow Management,Workflow Management,0,2,-0
111,Legislators and senior officials,29,Cloud Storage & Data Security,Cloud Storage,0.07309273655865343,2,0.07302780895606803
111,Legislators and senior officials,30,Information Processing,Information Processing,0,0,-0
111,Legislators and senior officials,31,Cloud Computing,Cloud Computing,0.06686100887637841,2,0.06681129297613281
111,Legislators and senior officials,32,Recommender Systems,Recommender Systems,0,1,-0
111,Legislators and senior officials,33,Social Networking & Media Platforms,Social Networking,0.20312778342588117,3,0.20175622767825477
111,Legislators and senior officials,34,Digital Media Content,Digital Media Content,0,0,-0
111,Legislators and senior officials,35,Augmented and Virtual Reality (AR/VR),AR/VR,0,0,-0
111,Legislators and senior officials,36,Machine Learning & Neural Networks,Machine Learning,0,0,-0
111,Legislators and senior officials,37,Medical Imaging & Image Processing,Medical Imaging,0,0,-0
111,Legislators and senior officials,38,Health Monitoring,Health Monitoring,0,0,-0
111,Legislators and senior officials,39,Medical Information,Medical Information,0,0,-0
111,Legislators and senior officials,40,E-Healthcare,E-Healthcare,0,0,-0
112,Managing directors and chief executives,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
112,Managing directors and chief executives,2,3D Printing,3D Printing,0,0,-0
112,Managing directors and chief executives,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
112,Managing directors and chief executives,4,Smart Agriculture & Water Management,Smart Agriculture,0,0,-0
112,Managing directors and chief executives,5,Internet of Things (IoT),IoT,0,0,-0
112,Managing directors and chief executives,6,Predictive Energy Management and Distribution,Energy Management,0,0,-0
112,Managing directors and chief executives,7,Industrial Automation & Robot Control,Industrial Automation,0,0,-0
112,Managing directors and chief executives,8,Remote Monitoring & Control Systems,Remote Monitoring,0,0,-0
112,Managing directors and chief executives,9,Smart Home & Intelligent Household Control,Smart Home,0,0,-0
112,Managing directors and chief executives,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
112,Managing directors and chief executives,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,0,-0
112,Managing directors and chief executives,12,Parking & Vehicle Space Management,Parking Management,0,0,-0
112,Managing directors and chief executives,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0,0,-0
112,Managing directors and chief executives,14,Passenger Transportation,Passenger Transportation,0,0,-0
112,Managing directors and chief executives,15,Food Ordering & Vending Systems,Food Ordering,0,0,-0
112,Managing directors and chief executives,16,Digital Advertising,Digital Advertising,0,0,-0
112,Managing directors and chief executives,17,Electronic Trading and Auctions,E-Trading,0,0,-0
112,Managing directors and chief executives,18,Online Shopping Platforms,Online Shopping,0,0,-0
112,Managing directors and chief executives,19,E-Coupons & Promotion Management,E-Coupons,0,0,-0
112,Managing directors and chief executives,20,Electronic Payments & Financial Transactions,E-Payment,0,0,-0
112,Managing directors and chief executives,21,Mobile Payments,Mobile Payment,0,0,-0
112,Managing directors and chief executives,22,Gaming & Wagering Systems,Gaming,0,0,-0
112,Managing directors and chief executives,23,Digital Authentication,Digital Authentification,0,0,-0
112,Managing directors and chief executives,24,E-Learning,E-Learning,0,0,-0
