nace3d,nace3d_label,tech40_id,tech40_label,tech40_labelshort,cosine3d,n_patent,xposure3d
01.1,Growing of non-perennial crops,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
01.1,Growing of non-perennial crops,2,3D Printing,3D Printing,0,0,-0
01.1,Growing of non-perennial crops,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
01.1,Growing of non-perennial crops,4,Smart Agriculture & Water Management,Smart Agriculture,187.31786497723292,497,5.92596129195082
01.1,Growing of non-perennial crops,5,Internet of Things (IoT),IoT,60.947495506755935,167,4.803227239950336
01.1,Growing of non-perennial crops,6,Predictive Energy Management and Distribution,Energy Management,0,1,-0
01.1,Growing of non-perennial crops,7,Industrial Automation & Robot Control,Industrial Automation,2.6268126989897866,8,1.693325345789645
01.1,Growing of non-perennial crops,8,Remote Monitoring & Control Systems,Remote Monitoring,0,0,-0
01.1,Growing of non-perennial crops,9,Smart Home & Intelligent Household Control,Smart Home,0.37151636884045497,1,0.36346091449823575
01.1,Growing of non-perennial crops,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
01.1,Growing of non-perennial crops,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,1,-0
01.1,Growing of non-perennial crops,12,Parking & Vehicle Space Management,Parking Management,0,0,-0
01.1,Growing of non-perennial crops,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0,0,-0
01.1,Growing of non-perennial crops,14,Passenger Transportation,Passenger Transportation,0,0,-0
01.1,Growing of non-perennial crops,15,Food Ordering & Vending Systems,Food Ordering,0,1,-0
01.1,Growing of non-perennial crops,16,Digital Advertising,Digital Advertising,0,0,-0
01.1,Growing of non-perennial crops,17,Electronic Trading and Auctions,E-Trading,0,0,-0
01.1,Growing of non-perennial crops,18,Online Shopping Platforms,Online Shopping,0,0,-0
01.1,Growing of non-perennial crops,19,E-Coupons & Promotion Management,E-Coupons,0,0,-0
01.1,Growing of non-perennial crops,20,Electronic Payments & Financial Transactions,E-Payment,0,0,-0
01.1,Growing of non-perennial crops,21,Mobile Payments,Mobile Payment,0,0,-0
01.1,Growing of non-perennial crops,22,Gaming & Wagering Systems,Gaming,0,1,-0
01.1,Growing of non-perennial crops,23,Digital Authentication,Digital Authentification,0,0,-0
01.1,Growing of non-perennial crops,24,E-Learning,E-Learning,0,0,-0
01.1,Growing of non-perennial crops,25,Location-Based Services & Tracking,Location-Based Services,0,0,-0
01.1,Growing of non-perennial crops,26,Voice Communication,Voice Communication,0,0,-0
01.1,Growing of non-perennial crops,27,Electronic Messaging,Electronic Messaging,0.38588190220192176,1,0.3768953105851821
01.1,Growing of non-perennial crops,28,Workflow Management,Workflow Management,1.7267546248247883,13,1.3143067652271074
01.1,Growing of non-perennial crops,29,Cloud Storage & Data Security,Cloud Storage,0,0,-0
01.1,Growing of non-perennial crops,30,Information Processing,Information Processing,0,0,-0
01.1,Growing of non-perennial crops,31,Cloud Computing,Cloud Computing,1.2997897318533476,4,1.0783228496891462
01.1,Growing of non-perennial crops,32,Recommender Systems,Recommender Systems,0.3629809724658849,1,0.3554487550175982
01.1,Growing of non-perennial crops,33,Social Networking & Media Platforms,Social Networking,0,0,-0
01.1,Growing of non-perennial crops,34,Digital Media Content,Digital Media Content,0,0,-0
01.1,Growing of non-perennial crops,35,Augmented and Virtual Reality (AR/VR),AR/VR,0,1,-0
01.1,Growing of non-perennial crops,36,Machine Learning & Neural Networks,Machine Learning,0,0,-0
01.1,Growing of non-perennial crops,37,Medical Imaging & Image Processing,Medical Imaging,0,0,-0
01.1,Growing of non-perennial crops,38,Health Monitoring,Health Monitoring,0,0,-0
01.1,Growing of non-perennial crops,39,Medical Information,Medical Information,0,0,-0
01.1,Growing of non-perennial crops,40,E-Healthcare,E-Healthcare,0,0,-0
01.2,Growing of perennial crops,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
01.2,Growing of perennial crops,2,3D Printing,3D Printing,0,0,-0
01.2,Growing of perennial crops,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
01.2,Growing of perennial crops,4,Smart Agriculture & Water Management,Smart Agriculture,53.86343645891454,147,4.6796852274838505
01.2,Growing of perennial crops,5,Internet of Things (IoT),IoT,16.70580041921911,57,3.5097977572986583
01.2,Growing of perennial crops,6,Predictive Energy Management and Distribution,Energy Management,0,0,-0
01.2,Growing of perennial crops,7,Industrial Automation & Robot Control,Industrial Automation,1.5089357907561434,4,1.1997097027943087
01.2,Growing of perennial crops,8,Remote Monitoring & Control Systems,Remote Monitoring,0,0,-0
01.2,Growing of perennial crops,9,Smart Home & Intelligent Household Control,Smart Home,0,0,-0
01.2,Growing of perennial crops,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
01.2,Growing of perennial crops,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,1,-0
01.2,Growing of perennial crops,12,Parking & Vehicle Space Management,Parking Management,0,0,-0
01.2,Growing of perennial crops,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0,0,-0
01.2,Growing of perennial crops,14,Passenger Transportation,Passenger Transportation,0,0,-0
01.2,Growing of perennial crops,15,Food Ordering & Vending Systems,Food Ordering,0,0,-0
01.2,Growing of perennial crops,16,Digital Advertising,Digital Advertising,0,0,-0
01.2,Growing of perennial crops,17,Electronic Trading and Auctions,E-Trading,0,0,-0
01.2,Growing of perennial crops,18,Online Shopping Platforms,Online Shopping,0,0,-0
01.2,Growing of perennial crops,19,E-Coupons & Promotion Management,E-Coupons,0,0,-0
01.2,Growing of perennial crops,20,Electronic Payments & Financial Transactions,E-Payment,0,0,-0
01.2,Growing of perennial crops,21,Mobile Payments,Mobile Payment,0,0,-0
01.2,Growing of perennial crops,22,Gaming & Wagering Systems,Gaming,0,1,-0
01.2,Growing of perennial crops,23,Digital Authentication,Digital Authentification,0,0,-0
01.2,Growing of perennial crops,24,E-Learning,E-Learning,0,0,-0
01.2,Growing of perennial crops,25,Location-Based Services & Tracking,Location-Based Services,0,0,-0
01.2,Growing of perennial crops,26,Voice Communication,Voice Communication,0,0,-0
01.2,Growing of perennial crops,27,Electronic Messaging,Electronic Messaging,0.3943447411789921,1,0.38477943825908417
01.2,Growing of perennial crops,28,Workflow Management,Workflow Management,0.4329312677045146,4,0.4204349307605053
01.2,Growing of perennial crops,29,Cloud Storage & Data Security,Cloud Storage,0,0,-0
01.2,Growing of perennial crops,30,Information Processing,Information Processing,0,0,-0
01.2,Growing of perennial crops,31,Cloud Computing,Cloud Computing,0,0,-0
01.2,Growing of perennial crops,32,Recommender Systems,Recommender Systems,0.34015649599140996,2,0.3339165142514508
01.2,Growing of perennial crops,33,Social Networking & Media Platforms,Social Networking,0,0,-0
01.2,Growing of perennial crops,34,Digital Media Content,Digital Media Content,0,0,-0
01.2,Growing of perennial crops,35,Augmented and Virtual Reality (AR/VR),AR/VR,0,1,-0
01.2,Growing of perennial crops,36,Machine Learning & Neural Networks,Machine Learning,0,0,-0
01.2,Growing of perennial crops,37,Medical Imaging & Image Processing,Medical Imaging,0,0,-0
01.2,Growing of perennial crops,38,Health Monitoring,Health Monitoring,0,0,-0
01.2,Growing of perennial crops,39,Medical Information,Medical Information,0.238879295631922,3,0.2366638520623444
01.2,Growing of perennial crops,40,E-Healthcare,E-Healthcare,0,0,-0
01.3,Plant propagation,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
01.3,Plant propagation,2,3D Printing,3D Printing,0,0,-0
01.3,Plant propagation,3,Additive Manufacturing,Additive Manufacturing,1.4213029810116573,5,1.1503020844589378
01.3,Plant propagation,4,Smart Agriculture & Water Management,Smart Agriculture,50.880107319645816,141,4.622715765260484
01.3,Plant propagation,5,Internet of Things (IoT),IoT,20.56451847762065,63,3.7173050009128947
01.3,Plant propagation,6,Predictive Energy Management and Distribution,Energy Management,0.853898971510618,5,0.7742053562662358
01.3,Plant propagation,7,Industrial Automation & Robot Control,Industrial Automation,1.5867077656136255,6,1.2419173470142726
01.3,Plant propagation,8,Remote Monitoring & Control Systems,Remote Monitoring,0.3943163515689292,1,0.38475302785200655
01.3,Plant propagation,9,Smart Home & Intelligent Household Control,Smart Home,0.3725846119992974,2,0.3644621092197614
01.3,Plant propagation,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
01.3,Plant propagation,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,0,-0
01.3,Plant propagation,12,Parking & Vehicle Space Management,Parking Management,0,0,-0
01.3,Plant propagation,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0,0,-0
01.3,Plant propagation,14,Passenger Transportation,Passenger Transportation,0,0,-0
01.3,Plant propagation,15,Food Ordering & Vending Systems,Food Ordering,0,0,-0
01.3,Plant propagation,16,Digital Advertising,Digital Advertising,0,0,-0
01.3,Plant propagation,17,Electronic Trading and Auctions,E-Trading,0,0,-0
01.3,Plant propagation,18,Online Shopping Platforms,Online Shopping,0,0,-0
01.3,Plant propagation,19,E-Coupons & Promotion Management,E-Coupons,0,0,-0
01.3,Plant propagation,20,Electronic Payments & Financial Transactions,E-Payment,0,0,-0
01.3,Plant propagation,21,Mobile Payments,Mobile Payment,0,0,-0
01.3,Plant propagation,22,Gaming & Wagering Systems,Gaming,0,1,-0
01.3,Plant propagation,23,Digital Authentication,Digital Authentification,0,0,-0
01.3,Plant propagation,24,E-Learning,E-Learning,0,0,-0
01.3,Plant propagation,25,Location-Based Services & Tracking,Location-Based Services,0,0,-0
01.3,Plant propagation,26,Voice Communication,Voice Communication,0.230576249732874,1,0.22858052369761195
01.3,Plant propagation,27,Electronic Messaging,Electronic Messaging,0.44373743488365736,1,0.43033202446972774
01.3,Plant propagation,28,Workflow Management,Workflow Management,0.9096078877825279,7,0.815991384477832
01.3,Plant propagation,29,Cloud Storage & Data Security,Cloud Storage,0.14726007184880033,1,0.14673296417303575
01.3,Plant propagation,30,Information Processing,Information Processing,0,0,-0
01.3,Plant propagation,31,Cloud Computing,Cloud Computing,0.2405679526009966,2,0.2383059834366431
01.3,Plant propagation,32,Recommender Systems,Recommender Systems,0.5464362074800421,4,0.5223554482431559
01.3,Plant propagation,33,Social Networking & Media Platforms,Social Networking,2.4978169805227317,13,1.6464200879965771
01.3,Plant propagation,34,Digital Media Content,Digital Media Content,0,0,-0
01.3,Plant propagation,35,Augmented and Virtual Reality (AR/VR),AR/VR,0,1,-0
01.3,Plant propagation,36,Machine Learning & Neural Networks,Machine Learning,14.747792546507553,80,3.385388056620655
01.3,Plant propagation,37,Medical Imaging & Image Processing,Medical Imaging,0.1933199164147872,1,0.19213558363791142
01.3,Plant propagation,38,Health Monitoring,Health Monitoring,0,0,-0
01.3,Plant propagation,39,Medical Information,Medical Information,0,0,-0
01.3,Plant propagation,40,E-Healthcare,E-Healthcare,0,0,-0
01.4,Animal production,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
01.4,Animal production,2,3D Printing,3D Printing,0,0,-0
01.4,Animal production,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
01.4,Animal production,4,Smart Agriculture & Water Management,Smart Agriculture,17.959298803687144,47,3.582029407206447
01.4,Animal production,5,Internet of Things (IoT),IoT,11.910536388488756,34,3.172328249355144
01.4,Animal production,6,Predictive Energy Management and Distribution,Energy Management,0,0,-0
01.4,Animal production,7,Industrial Automation & Robot Control,Industrial Automation,0.9770866522980233,2,0.8650782406136247
01.4,Animal production,8,Remote Monitoring & Control Systems,Remote Monitoring,1.8533600351849915,5,1.3760648603805885
01.4,Animal production,9,Smart Home & Intelligent Household Control,Smart Home,0,0,-0
01.4,Animal production,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
01.4,Animal production,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0,0,-0
01.4,Animal production,12,Parking & Vehicle Space Management,Parking Management,0,0,-0
01.4,Animal production,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0,0,-0
