naics4d,naics4d_label,tech40_id,tech40_label,tech40_labelshort,cosine4d,n_patent,xposure4d
1111,Oilseed and Grain Farming,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
1111,Oilseed and Grain Farming,2,3D Printing,3D Printing,0,0,-0
1111,Oilseed and Grain Farming,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
1111,Oilseed and Grain Farming,4,Smart Agriculture & Water Management,Smart Agriculture,141.41129734801808,406,5.644832328753998
1111,Oilseed and Grain Farming,5,Internet of Things (IoT),IoT,51.147103365275626,150,4.627948592250864
1111,Oilseed and Grain Farming,6,Predictive Energy Management and Distribution,Energy Management,0,1,-0
1111,Oilseed and Grain Farming,7,Industrial Automation & Robot Control,Industrial Automation,2.2780332839513937,10,1.5614844923747822
1111,Oilseed and Grain Farming,8,Remote Monitoring & Control Systems,Remote Monitoring,0.25984379113735356,1,0.2570051631847639
1111,Oilseed and Grain Farming,9,Smart Home & Intelligent Household Control,Smart Home,0,0,-0
1111,Oilseed and Grain Farming,10,Intelligent Logistics,Intelligent Logistics,0,0,-0
1111,Oilseed and Grain Farming,11,Autonomous Vehicles & UAVs,Autonomous Vehicles,0.41077217244022113,2,0.40001835822346843
1111,Oilseed and Grain Farming,12,Parking & Vehicle Space Management,Parking Management,0,0,-0
1111,Oilseed and Grain Farming,13,Vehicle Telematics & Electric Vehicle Management,Vehicle Telematics,0.4229557732877208,1,0.4112639381585174
1111,Oilseed and Grain Farming,14,Passenger Transportation,Passenger Transportation,0,0,-0
1111,Oilseed and Grain Farming,15,Food Ordering & Vending Systems,Food Ordering,0,0,-0
1111,Oilseed and Grain Farming,16,Digital Advertising,Digital Advertising,0,0,-0
1111,Oilseed and Grain Farming,17,Electronic Trading and Auctions,E-Trading,0,0,-0
1111,Oilseed and Grain Farming,18,Online Shopping Platforms,Online Shopping,0,0,-0
1111,Oilseed and Grain Farming,19,E-Coupons & Promotion Management,E-Coupons,0,0,-0
1111,Oilseed and Grain Farming,20,Electronic Payments & Financial Transactions,E-Payment,0,0,-0
1111,Oilseed and Grain Farming,21,Mobile Payments,Mobile Payment,0,0,-0
1111,Oilseed and Grain Farming,22,Gaming & Wagering Systems,Gaming,0,1,-0
1111,Oilseed and Grain Farming,23,Digital Authentication,Digital Authentification,0,0,-0
1111,Oilseed and Grain Farming,24,E-Learning,E-Learning,0,0,-0
1111,Oilseed and Grain Farming,25,Location-Based Services & Tracking,Location-Based Services,0,0,-0
1111,Oilseed and Grain Farming,26,Voice Communication,Voice Communication,0,0,-0
1111,Oilseed and Grain Farming,27,Electronic Messaging,Electronic Messaging,0,0,-0
1111,Oilseed and Grain Farming,28,Workflow Management,Workflow Management,4.044521342983991,12,2.10545438097954
1111,Oilseed and Grain Farming,29,Cloud Storage & Data Security,Cloud Storage,0,0,-0
1111,Oilseed and Grain Farming,30,Information Processing,Information Processing,0,0,-0
1111,Oilseed and Grain Farming,31,Cloud Computing,Cloud Computing,0.9688822622310083,3,0.8591979713701183
1111,Oilseed and Grain Farming,32,Recommender Systems,Recommender Systems,0.31901390717492,1,0.31383666708577057
1111,Oilseed and Grain Farming,33,Social Networking & Media Platforms,Social Networking,0,0,-0
1111,Oilseed and Grain Farming,34,Digital Media Content,Digital Media Content,0,0,-0
1111,Oilseed and Grain Farming,35,Augmented and Virtual Reality (AR/VR),AR/VR,0,1,-0
1111,Oilseed and Grain Farming,36,Machine Learning & Neural Networks,Machine Learning,0.331150162041268,2,0.325378334886622
1111,Oilseed and Grain Farming,37,Medical Imaging & Image Processing,Medical Imaging,0,0,-0
1111,Oilseed and Grain Farming,38,Health Monitoring,Health Monitoring,0,0,-0
1111,Oilseed and Grain Farming,39,Medical Information,Medical Information,0,0,-0
1111,Oilseed and Grain Farming,40,E-Healthcare,E-Healthcare,0,0,-0
1112,Vegetable and Melon Farming,1,3D Printer Hardware,3D Printer Hardware,0,0,-0
1112,Vegetable and Melon Farming,2,3D Printing,3D Printing,0,0,-0
1112,Vegetable and Melon Farming,3,Additive Manufacturing,Additive Manufacturing,0,0,-0
1112,Vegetable and Melon Farming,4,Smart Agriculture & Water Management,Smart Agriculture,177.95062344955775,505,5.874661190723502
1112,Vegetable and Melon Farming,5,Internet of Things (IoT),IoT,60.58865737765942,173,4.797322978780425
1112,Vegetable and Melon Farming,6,Predictive Energy Management and Distribution,Energy Management,0,2,-0
1112,Vegetable and Melon Farming,7,Industrial Automation & Robot Control,Industrial Automation,0,1,-0
1112,Vegetable and Melon Farming,8,Remote Monitoring & Control Systems,Remote Monitoring,0.3686588267724285,1,0.360781011748586
1112,Vegetable and Melon Farming,9,Smart Home & Intelligent Household Control,Smart Home,0,0,-0
